SeAt No.,PHY101,MTH101,CHM101,ENG101,ECC101,COM100,ECC102,ECC104,ENG102,MTH102,PHY102,MTH113,MTH251,MTH201,ECC201,ECC203,ECC205,ENG201,ECC215,ECC002,COM339,COM382,ECC301,ECC003,ECC341,MTH323,ECC317,COM333,COM360,COM344,ECC302,ECC303,ECC417,ECC403,ECC426,ECC421,ECC412,ECC413,ECC415,COM490,COM491,CGPA
CS-97001,CB,DC,DC,CC,DC,DC,DD,DC,CB,DC,DC,BB,DD,BA,CB,CC,DC,DC,DD,CC,AA,BB,CC,CC,DC,CC,DC,CC,DC,DD,CC,DC,BB,DC,DC,DC,BA,AA,DC,BB,BA,2.205
CS-97002,AA,DD,DC,DD,CB,CC,DD,AA,DC,DD,BB,CC,CB,DC,DC,DC,DD,CC,DD,DC,CB,BA,DC,CC,BA,DD,DC,DC,DD,CC,DC,DD,DC,DD,CC,DD,BA,CB,CC,CC,BB,2.008
CS-97003,AA,BB,AA,CB,BB,AA,CB,BB,BA,BA,CB,BA,AA,AA,AA,AA,AA,AA,BA,BB,AA,BB,BA,BB,BA,BA,BB,AA,AA,BA,AA,CC,AA,BB,AA,CC,AA,AA,AA,BA,AA,3.608
CS-97004,DD,CC,DC,DD,DD,BA,DC,DC,DD,CC,DD,BB,DC,CB,DD,CC,BB,CC,DD,DC,DC,DD,CB,DC,BB,DC,DC,CB,DD,DD,DC,DD,DC,CC,DC,DC,CB,BB,CC,CC,CC,1.906
CS-97005,BA,BA,BA,BB,AA,AA,BA,BB,AA,BA,CC,AA,AA,BA,BA,BA,CB,AA,BA,CC,AA,CB,BA,BA,CB,BA,CB,BA,BA,BA,CC,DC,BA,BB,BB,CB,BA,AA,BA,BA,AA,3.448
CS-97006,AA,CB,BB,DC,CC,BA,CC,BB,BB,BB,DC,BA,CB,BB,BA,BB,BB,BA,BB,BB,BA,CB,CC,BA,CB,BB,CC,BA,CC,BA,BB,DC,BA,CB,CC,CC,BA,BA,BB,CB,BB,3.026
CS-97007,CB,DC,BA,DD,BA,BB,AA,BB,BA,BB,BA,AA,CC,CC,DC,CB,CB,BB,CC,DC,AA,BB,BB,BA,CC,CC,CB,BB,DC,CC,CC,CC,BB,CC,BB,CB,AA,BA,BB,BB,AA,2.957
CS-97008,BB,BB,CC,CC,CC,BA,DC,BA,BB,BA,BB,AA,BB,BB,CC,BA,BB,BA,CC,CC,BA,DC,BA,BB,BB,BB,DC,BA,CC,CC,CC,CC,BA,BB,BB,CC,AA,BB,BA,BA,BA,3.043
CS-97009,BA,CC,BA,DC,BB,BA,BA,BA,BB,BA,BA,AA,AA,BA,CB,BA,BA,AA,CB,BB,AA,BB,BB,BA,BB,BA,BB,BB,CC,CC,BA,DC,AA,BB,CB,CC,AA,BA,BB,BA,AA,3.358
CS-97010,AA,BB,CC,BB,BB,BA,CC,CB,BA,AA,CC,BA,CB,AA,BA,AA,CB,AA,CB,CC,BA,CB,CB,BB,CB,BA,CC,BA,BA,CB,BB,BB,BB,CB,BB,CB,AA,AA,BA,BB,AA,3.247
CS-97011,BA,CB,BB,DC,DC,CB,CC,CB,AA,BA,DC,AA,CB,BA,DD,BB,CB,BB,CC,DC,BA,CC,BB,CC,BA,BB,CC,BA,CC,DC,BB,CC,BA,CB,DC,DC,BB,BB,CB,DC,BB,2.681
CS-97012,BA,CC,BA,CC,DC,AA,CB,BB,BA,BA,BA,AA,BB,BA,BA,AA,BA,AA,AA,BB,AA,CC,CB,AA,CB,BA,BA,BA,BA,BA,CB,CC,BA,CB,BB,CC,AA,BA,CB,CC,BA,3.281
CS-97013,BB,CC,BA,CC,CB,BB,DC,CC,BB,BA,BA,CB,BB,BB,BA,CC,DC,BB,DC,CC,CB,BA,CB,CB,BB,CC,DC,BA,DD,DC,BB,DC,BA,CC,DC,CC,AA,BA,CB,BA,BB,2.792
CS-97014,AA,DC,BA,DC,BB,BA,CC,BA,BA,BA,DC,AA,BB,AA,BA,BA,BB,BA,CC,BB,AA,BA,BA,AA,BA,BA,BB,BA,BB,BB,AA,BA,AA,BA,BA,BB,BA,AA,AA,BA,AA,3.523
CS-97015,AA,CC,BA,CC,BA,AA,CB,BA,BA,AA,CC,BA,CB,BA,AA,BB,CB,BA,CB,CC,AA,BA,BA,AA,BA,BA,CC,BA,BB,BA,BB,DC,AA,BA,BA,BB,BA,AA,AA,AA,AA,3.443
CS-97016,BA,DC,CB,DD,CB,BB,CB,BA,BB,BA,CC,BB,BA,CB,CB,CB,CC,BA,CC,DC,AA,DC,BA,CC,CC,CB,BB,BA,CB,DD,CC,CB,AA,CC,CB,CC,BA,BA,CC,DC,BA,2.777
CS-97017,BA,DC,AA,DC,BA,AA,BB,BA,BA,AA,BB,BA,BA,AA,AA,BA,BA,AA,BB,CB,AA,CC,BA,BA,CC,CB,CC,BB,BB,BB,AA,CB,AA,CB,BB,CC,BB,BA,CB,BB,BA,3.248
CS-97018,CB,DC,CC,DD,DD,CC,DC,BB,BB,DC,DD,BB,DD,CB,DD,DC,CC,BB,CC,DD,CC,DD,DD,DC,DD,DD,DD,DC,DD,DC,DC,CC,DC,DC,DC,DD,BA,CC,DC,DC,DC,1.787
CS-97019,AA,DC,AA,CC,BA,AA,BA,AA,AA,AA,BB,BA,AA,BA,BA,BA,BB,AA,BA,BB,BA,AA,BA,BA,BA,BA,CB,CB,BA,BB,BA,DC,AA,BA,BA,CB,BA,AA,BA,BA,AA,3.572
CS-97020,BB,CC,BA,DC,BA,BB,BA,BA,AA,AA,BB,AA,BA,AA,BA,BA,BA,AA,BB,BB,BA,BA,BB,AA,BB,CB,CC,BB,AA,BB,BA,DC,BA,BB,BA,BB,BA,AA,BA,BA,AA,3.483
CS-97021,BB,CC,BB,DC,CB,DC,DC,DC,DC,BA,DC,BA,CB,DC,BB,CB,DC,CB,DC,DC,BA,DC,CB,CC,CC,CC,DC,CB,DC,DD,CC,DC,BB,DC,DC,DC,BB,BB,CC,CB,BA,2.246
CS-97022,BB,BB,CB,CC,BA,BA,DC,CC,BB,CC,CC,BB,BB,BA,CC,CB,CC,BB,DC,BB,BB,BA,BB,DC,BB,CC,CC,BB,CC,CC,BA,BB,BA,BB,CC,CC,AA,AA,BA,BB,BA,2.956
CS-97023,BB,CC,CB,CC,DC,BA,CB,CC,BA,CC,CB,BA,DC,AA,CB,BB,DD,BA,CB,CC,BA,BB,BA,BB,CB,BB,DC,BB,CB,BB,BB,DC,BA,BB,CC,DC,AA,BA,BB,CB,BA,2.953
CS-97024,AA,BA,AA,BA,AA,AA,CB,BA,BB,AA,BB,BA,BB,BA,AA,BA,BA,AA,BA,BA,AA,BB,BA,BA,BA,BA,CB,BB,BA,BB,BA,CB,AA,CB,BA,CB,BB,AA,BA,BA,BA,3.586
